seed,frac_overlap,model_idx,acc
0,0.8,1,0.8549
0,0.8,2,0.8542
0,1.0,1,0.8519
0,1.0,2,0.8557
0,0.4,1,0.8534
0,0.4,2,0.8529
0,0.0,1,0.8509
0,0.0,2,0.8559
0,0.6,1,0.8583
0,0.6,2,0.8556
0,0.2,1,0.8557
0,0.2,2,0.8527
1,0.8,1,0.8574
1,0.8,2,0.86
1,0.2,1,0.8549
1,0.2,2,0.8576
1,0.4,1,0.852
1,0.4,2,0.855
1,0.6,1,0.8527
1,0.6,2,0.853
1,0.0,1,0.8552
1,0.0,2,0.8573
1,1.0,1,0.8556
1,1.0,2,0.848
2,0.6,1,0.8534
2,0.6,2,0.8537
2,0.4,1,0.8552
2,0.4,2,0.8522
2,0.0,1,0.8553
2,0.0,2,0.8513
2,0.2,1,0.8561
2,0.2,2,0.853
2,0.8,1,0.8538
2,0.8,2,0.8533
2,1.0,1,0.8569
2,1.0,2,0.8572
3,0.8,1,0.8563
3,0.8,2,0.8535
3,0.6,1,0.8521
3,0.6,2,0.8534
3,0.4,1,0.8566
3,0.4,2,0.8551
3,0.2,1,0.8538
3,0.2,2,0.8516
3,0.0,1,0.8532
3,0.0,2,0.8544
3,1.0,1,0.8554
3,1.0,2,0.8579
